城市名称,9月房价(元/㎡),9月房价同比(%),9月房价环比(%),9月租金(元/月/㎡),9月租金同比(%),9月租金环比(%),10月房价(元/㎡),10月房价同比(%),10月房价环比(%),10月租金(元/月/㎡),10月租金同比(%),10月租金环比(%),11月房价(元/㎡),11月房价同比(%),11月房价环比(%),11月租金(元/月/㎡),11月租金同比(%),11月租金环比(%),12月房价(元/㎡),12月房价同比(%),12月房价环比(%),12月租金(元/月/㎡),12月租金同比(%),12月租金环比(%),Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
海东地区,4505.0,15.63,-3.45,12.19,-6.56,-8.42,4624.0,15.21,2.65,12.66,13.84,3.85,4642.0,18.15,0.39,12.27,4.75,-3.1,4681.0,15.5,0.83,12.49,-12.72,1.82,,,,
海口市,16813.0,38.1,0.84,35.03,14.95,4.56,16051.0,28.03,-4.53,34.91,11.28,-0.35,15901.0,28.58,-0.93,35.31,15.95,1.15,15836.0,23.22,-0.41,35.18,6.46,-0.36,,,,
海南藏族自治州,3786.0,30.55,3.86,,,,3700.0,0.0,-2.28,,0.0,0.0,3695.0,38.23,-0.12,,0.0,0.0,4333.0,,17.26,,,,,,,
海西蒙古族藏族自治州,3572.0,4.94,-8.35,13.67,-3.41,3.59,3157.0,-8.75,-11.62,13.4,7.61,-1.95,3230.0,-6.55,2.31,13.67,11.1,2.01,3006.0,-19.45,-6.93,13.61,11.77,-0.45,,,,
邯郸市,9582.0,24.58,4.5,17.09,7.78,-2.1,9387.0,19.8,-2.04,17.09,9.94,0.03,9329.0,18.94,-0.61,17.15,-1.12,0.36,9478.0,24.74,1.59,17.46,11.47,1.78,,,,
汉中市,4905.0,30.88,1.13,13.02,8.68,0.33,4850.0,25.71,-1.12,13.36,17.61,2.63,4909.0,25.95,1.22,13.63,20.26,2.02,4997.0,23.46,1.8,14.02,33.4,2.88,,,,
杭州市,31154.0,12.73,-2.29,56.37,16.84,0.41,31922.0,10.65,2.47,55.52,15.24,-1.5,31924.0,9.75,0.0,54.31,13.05,-2.19,31049.0,4.28,-2.74,53.13,8.37,-2.16,,,,
合肥市,15385.0,4.98,0.45,26.8,23.15,-2.1,15616.0,6.76,1.5,26.78,23.56,-0.08,15589.0,5.51,-0.17,26.94,21.41,0.58,15437.0,4.76,-0.98,27.09,14.85,0.56,,,,
和田地区,3286.0,15.64,5.51,8.43,-44.87,,3110.0,5.78,-5.37,19.33,39.51,0.0,3407.0,10.87,9.57,17.27,0.0,-10.67,3223.0,-2.49,-5.42,19.62,,13.63,,,,
河池市,4475.0,10.18,3.77,14.51,15.78,5.58,4479.0,11.79,0.11,15.12,29.07,4.18,4465.0,10.87,-0.33,14.51,25.21,-3.98,4487.0,11.04,0.49,14.78,19.65,1.8,,,,
河源市,6722.0,8.4,-0.53,22.49,33.67,6.53,6878.0,9.21,2.33,22.26,43.53,-0.99,6782.0,7.45,-1.39,21.43,45.23,-3.75,6684.0,6.75,-1.45,21.12,9.9,-1.44,,,,
菏泽,6096.0,8.74,2.87,17.11,7.19,0.19,6265.0,9.84,2.77,16.98,13.18,-0.77,6170.0,9.79,-1.51,17.28,15.77,1.78,6207.0,10.98,0.6,17.46,16.72,1.02,,,,
贺州市,6124.0,34.83,2.68,18.08,29.61,-0.07,6214.0,34.61,1.46,18.05,45.26,-0.16,6141.0,22.55,-1.17,17.99,42.03,-0.34,6077.0,24.03,-1.04,17.07,20.8,-5.1,,,,
鹤壁市,6478.0,27.15,1.27,14.1,25.17,2.67,6674.0,19.46,3.02,13.88,19.51,-1.59,6428.0,16.44,-3.68,13.74,24.67,-0.97,6187.0,12.24,-3.75,13.82,36.71,0.53,,,,
